IndexNum,Week,VisitorName,HomeTeam,GameDate,GameTime,DisplayValue,InPool,PointSpread,GameId,VS,Station,Mobile
294,4,Buffalo,Eastern Michigan,09/24/22,,,No,,,,,,
295,4,Fordham,Ohio,09/24/22,,,No,,,,,,
296,4,Arkansas State,Old Dominion,09/24/22,,,No,,,,,,
297,4,Charlotte,South Carolina,09/24/22,,,No,,,,,,
298,4,Louisiana Tech,South Alabama,09/24/22,,,No,,,,,,
299,4,Middle Tennessee,Miami,09/24/22,,,No,,,,,,
300,4,North Texas,Memphis,09/24/22,,,No,,,,,,
301,4,Rice,Houston,09/24/22,,,No,,,,,,
302,4,Kent State,Georgia,09/24/22,12:00:00 PM,,No,,,,,,
303,4,Maryland,Michigan,09/24/22,12:00:00 PM,,No,,,,,,
304,4,Florida International,Western Kentucky,09/24/22,03:30:00 PM,,No,,,,,,
305,4,Texas Southern,UTSA,09/24/22,03:30:00 PM,,No,,,,,,
306,4,Sacramento State,Colorado State,09/24/22,04:00:00 PM,,No,,,,,,
307,4,Ball State,Georgia Southern,09/24/22,06:00:00 PM,,No,,,,,,
308,4,UNLV,Utah State,09/24/22,07:00:00 PM,,No,,,,,,
309,4,Houston Baptist,Texas State,09/24/22,07:00:00 PM,,No,,,,,,
310,4,Marshall,Troy,09/24/22,07:00:00 PM,,No,,,,,,
311,4,New Mexico,LSU,09/24/22,07:30:00 PM,,No,,,,,,
312,4,Florida Atlantic,Purdue,09/24/22,07:30:00 PM,,No,,,,,,
313,4,Louisiana,UL Monroe,09/24/22,08:00:00 PM,,No,,,,,,
314,4,Western Michigan,San José State,09/24/22,10:30:00 PM,,No,,,,,,
315,5,Utah State,BYU,09/29/22,08:00:00 PM,,No,,,,,,
316,5,Tulane,Houston,09/30/22,07:00:00 PM,,No,,,,,,
317,5,UTSA,Middle Tennessee,09/30/22,07:30:00 PM,,No,,,,,,
318,5,San Diego State,Boise State,09/30/22,08:00:00 PM,,No,,,,,,
319,5,Washington,UCLA,09/30/22,10:30:00 PM,,No,,,,,,
320,5,New Mexico,UNLV,09/30/22,11:00:00 PM,,No,,,,,,
321,5,Alabama,Arkansas,10/01/22,,,No,,,,,,
322,5,LSU,Auburn,10/01/22,,,No,,,,,,
323,5,Kentucky,Ole Miss,10/01/22,,,No,,,,,,
324,5,Texas A&M,Mississippi State,10/01/22,,,No,,,,,,
325,5,Georgia,Missouri,10/01/22,,,No,,,,,,
326,5,South Carolina State,South Carolina,10/01/22,,,No,,,,,,
327,5,Colorado,Arizona,10/01/22,,,No,,,,,,
328,5,Arizona State,USC,10/01/22,,,No,,,,,,
329,5,California,Washington State,10/01/22,,,No,,,,,,
330,5,Stanford,Oregon,10/01/22,,,No,,,,,,
331,5,Oregon State,Utah,10/01/22,,,No,,,,,,
332,5,Oklahoma State,Baylor,10/01/22,,,No,,,,,,
333,5,Iowa State,Kansas,10/01/22,,,No,,,,,,
334,5,Texas Tech,Kansas State,10/01/22,,,No,,,,,,
335,5,Oklahoma,TCU,10/01/22,,,No,,,,,,
336,5,West Virginia,Texas,10/01/22,,,No,,,,,,
337,5,Liberty,Old Dominion,10/01/22,,,No,,,,,,
338,5,Illinois,Wisconsin,10/01/22,,,No,,,,,,
339,5,Michigan,Iowa,10/01/22,,,No,,,,,,
340,5,Indiana,Nebraska,10/01/22,,,No,,,,,,
341,5,Michigan State,Maryland,10/01/22,,,No,,,,,,
342,5,Northwestern,Penn State,10/01/22,,,No,,,,,,
343,5,Louisville,Boston College,10/01/22,,,No,,,,,,
344,5,NC State,Clemson,10/01/22,,,No,,,,,,
345,5,Virginia,Duke,10/01/22,,,No,,,,,,
346,5,Wake Forest,Florida State,10/01/22,,,No,,,,,,
347,5,Virginia Tech,North Carolina,10/01/22,,,No,,,,,,
348,5,Georgia Tech,Pittsburgh,10/01/22,,,No,,,,,,
349,5,Wagner,Syracuse,10/01/22,,,No,,,,,,
350,5,East Carolina,South Florida,10/01/22,,,No,,,,,,
351,5,Cincinnati,Tulsa,10/01/22,,,No,,,,,,
352,5,Temple,Memphis,10/01/22,,,No,,,,,,
353,5,SMU,UCF,10/01/22,,,No,,,,,,
354,5,Northern Illinois,Ball State,10/01/22,,,No,,,,,,
355,5,New Hampshire,Western Michigan,10/01/22,,,No,,,,,,
356,5,The Citadel,Appalachian State,10/01/22,,,No,,,,,,
